subno	helpful	reliant	defbel	yielding	cheerful	indpt	athlet	shy	assert	strpers	forceful	affect	flatter	loyal	analyt	feminine	sympathy	moody	sensitiv	undstand	compass	leaderab	soothe	risk	decide	selfsuff	conscien	dominant	masculin	stand	happy	softspok	warm	truthful	tender	gullible	leadact	childlik	individ	foullang	lovchil	compete	ambitiou	gentle
264	7	7	6	3	6	6	3	3	5	5	5	6	6	7	5	6	7	1	7	7	7	6	7	5	7	6	7	7	2	5	6	4	5	6	6	5	6	3	5	7	6	6	6	6
265	4	6	7	2	7	6	2	3	6	7	2	5	6	6	2	9	3	1	1	6	6	2	3	2	4	6	6	6	2	2	6	6	3	6	4	6	6	6	6	3	6	3	2	6
266	7	6	7	5	6	6	2	1	6	6	2	7	5	7	7	6	7	5	7	6	7	5	7	5	2	6	7	4	2	7	6	3	6	7	6	1	5	4	7	2	6	5	6	6
267	7	6	6	4	6	7	2	3	3	3	1	7	5	6	7	4	4	6	4	4	4	4	4	7	5	5	7	7	3	7	6	3	6	5	5	5	4	4	7	4	6	7	7	5
268	6	7	6	3	7	7	4	3	4	4	2	6	5	7	6	6	7	1	6	6	6	4	6	6	4	7	6	1	1	4	6	6	6	7	6	3	4	1	6	7	6	7	6	7
269	6	6	7	3	5	6	5	2	6	5	4	6	3	7	3	6	7	2	7	5	5	5	4	2	3	6	6	4	1	6	6	4	4	7	5	2	4	1	4	7	6	4	4	4
270	7	7	7	6	6	7	5	6	7	6	7	7	1	7	7	7	7	5	7	7	7	6	7	7	7	7	7	6	1	7	6	5	6	7	7	7	7	4	7	2	7	6	5	6
271	6	6	7	4	6	3	4	2	6	6	4	7	6	7	6	6	6	3	6	6	7	5	7	6	5	5	5	3	1	6	6	4	7	6	7	2	4	1	6	2	7	6	7	7
272	5	4	4	3	6	4	2	4	3	4	3	6	4	7	6	5	7	4	6	6	7	3	5	3	3	4	5	3	2	3	5	4	6	6	6	4	3	3	4	4	7	3	4	7
273	6	5	6	7	7	7	7	1	5	6	7	7	4	6	5	7	6	2	7	5	5	6	7	4	3	6	6	7	1	5	6	1	6	6	6	1	6	2	5	6	6	7	6	5
274	5	6	3	5	7	5	3	3	4	3	3	5	3	6	4	6	7	3	7	6	6	1	7	4	7	6	6	3	1	4	6	4	6	6	6	5	3	1	6	7	6	4	6	6
276	7	5	7	4	6	5	2	2	2	5	5	2	1	7	7	4	7	2	6	6	7	4	5	2	2	5	7	5	4	6	5	2	6	7	6	2	4	1	4	6	7	1	5	5
277	5	6	6	5	4	5	3	1	5	5	4	6	3	6	6	4	7	4	5	7	5	4	6	5	6	5	5	4	2	4	2	4	5	6	4	2	4	1	5	5	6	3	5	5
278	5	6	6	5	7	7	4	3	4	4	5	6	3	7	6	6	7	3	6	6	6	3	6	4	5	6	6	3	2	6	6	7	6	6	5	4	2	2	7	7	7	6	5	7
280	6	7	7	6	7	7	3	1	6	6	4	7	1	7	7	5	7	1	7	7	7	7	7	4	5	7	7	4	1	7	7	7	7	7	7	1	6	1	7	7	7	1	5	7
293	7	6	7	6	6	6	7	4	6	6	3	7	6	7	6	5	7	4	6	7	7	6	7	6	6	6	6	2	1	6	6	6	6	6	5	7	5	1	5	4	7	6	6	6
290	4	6	7	6	6	6	7	1	6	6	6	4	7	7	4	5	6	2	3	5	6	5	5	7	3	6	7	3	1	6	4	6	6	6	6	7	6	1	6	6	7	7	6	6
291	7	4	6	4	5	7	4	3	3	3	3	7	7	7	5	7	4	7	7	7	1	7	1	4	4	7	7	2	1	4	7	7	7	7	7	7	1	1	7	1	7	5	1	7
292	7	6	6	5	6	6	6	4	6	5	6	6	5	7	6	6	7	5	7	6	6	5	7	6	5	5	6	4	9	5	5	4	6	7	4	5	5	3	5	2	7	5	5	4
294	7	6	7	3	5	7	3	1	7	7	7	7	4	7	7	7	3	4	4	5	5	7	4	5	5	5	7	7	1	5	5	1	5	7	7	1	7	2	7	4	7	7	7	7
295	7	7	6	6	6	7	3	3	5	6	4	7	5	7	7	6	7	4	7	7	7	5	7	4	5	7	7	2	1	3	7	6	7	7	7	7	4	4	7	6	7	5	6	7
299	7	6	7	5	7	7	6	3	5	6	4	5	3	6	4	4	6	4	5	6	6	6	4	5	5	5	5	4	3	5	5	5	4	5	4	4	5	4	4	6	7	5	5	4
300	7	7	7	3	7	7	7	1	7	7	6	7	6	7	7	7	7	4	7	7	7	6	7	6	5	6	7	5	1	6	6	6	6	7	7	4	5	2	6	6	7	7	7	7
301	4	6	6	2	6	7	1	2	6	4	3	5	2	6	5	4	5	2	4	5	5	6	2	5	6	6	7	5	3	6	6	3	4	6	3	2	6	1	6	2	4	5	4	4
302	6	7	7	4	6	7	3	2	5	7	6	7	5	7	4	5	6	3	6	5	6	6	5	5	7	6	6	6	4	6	7	5	6	7	5	4	6	4	7	5	4	6	4	6
306	7	6	6	4	6	6	3	4	3	4	4	7	6	7	6	7	7	4	6	6	6	5	6	4	5	6	6	3	1	6	6	6	6	7	6	4	4	2	7	6	7	6	7	7
307	7	7	7	4	7	7	7	1	7	7	4	7	4	7	7	7	7	2	7	7	7	7	7	6	6	7	7	7	1	7	7	7	7	7	7	7	7	1	7	7	7	7	7	7
308	7	5	7	5	4	5	4	5	5	5	3	4	2	6	7	5	5	4	4	6	5	4	4	4	4	5	7	6	2	6	5	5	4	7	5	1	4	1	6	6	3	4	6	6
310	5	7	7	2	7	7	1	1	3	7	4	6	3	7	7	5	7	3	4	7	7	5	7	1	2	6	7	7	1	5	6	5	5	7	6	1	5	1	7	1	7	5	7	6
311	7	6	5	7	5	7	1	3	3	4	2	4	2	7	4	5	7	3	7	6	5	4	7	2	3	5	6	3	5	4	4	3	4	7	4	3	4	1	4	7	7	5	5	6
313	7	6	6	5	7	5	4	1	1	1	1	6	7	7	4	5	7	1	6	7	7	5	7	5	5	5	7	5	3	5	6	1	7	7	6	2	6	1	7	1	7	5	4	6
314	6	6	7	5	5	4	3	3	3	4	2	5	4	7	3	7	6	5	5	6	6	3	6	5	4	5	6	3	1	5	6	4	5	7	7	5	4	4	5	6	7	4	6	7
316	7	7	7	6	7	7	2	1	2	3	2	7	6	7	6	7	7	1	6	7	7	3	7	5	6	7	7	5	1	5	7	5	6	7	6	2	4	1	5	1	7	2	5	7
317	6	6	6	6	6	6	2	7	3	3	2	6	7	5	5	6	7	2	6	7	6	2	7	2	2	6	7	2	1	5	6	6	5	7	6	2	2	1	5	6	7	3	2	7
318	7	6	7	6	6	7	4	5	6	6	4	6	6	7	6	5	7	4	7	7	7	5	6	4	5	6	6	5	1	6	6	6	7	7	6	2	5	1	7	6	7	3	6	7
319	6	7	7	4	5	6	4	3	5	5	5	6	2	7	6	6	6	2	6	5	5	4	5	5	6	6	6	6	1	6	5	5	5	6	5	2	5	2	5	3	6	2	4	5
320	6	6	6	3	6	6	6	3	5	5	5	5	4	6	6	4	5	2	5	6	6	6	5	3	3	6	6	4	2	4	6	3	5	5	4	4	5	2	4	4	6	3	4	4
323	5	6	7	2	6	7	6	5	3	5	3	6	4	7	6	7	7	3	7	7	7	7	7	5	7	6	6	4	1	7	6	5	7	7	6	6	6	3	7	7	7	7	6	5
324	7	7	6	4	6	7	4	4	6	7	7	7	4	7	4	6	6	2	5	6	6	4	3	2	2	7	7	4	1	6	6	6	6	6	6	3	4	3	6	5	6	6	2	6
325	6	5	4	2	6	7	3	4	4	7	5	4	2	6	5	4	2	4	4	5	4	4	4	6	6	6	5	5	4	5	5	5	4	7	4	4	5	5	7	6	4	6	4	5
326	5	6	4	5	7	5	7	4	3	5	3	6	5	6	2	5	6	1	6	7	5	3	5	2	2	5	7	2	1	2	7	5	6	5	5	6	3	2	5	6	7	2	4	6
328	5	3	7	5	4	6	6	3	5	6	4	6	6	7	3	2	7	2	5	6	5	3	7	4	3	2	5	6	3	4	4	2	6	7	4	5	3	3	2	7	7	4	5	6
329	6	4	7	3	2	5	1	2	4	5	4	7	5	6	7	4	7	7	5	6	6	4	7	2	1	3	5	4	1	5	2	1	6	6	5	3	4	4	4	1	6	3	3	5
330	5	7	6	3	5	7	4	2	7	7	7	7	7	7	7	6	6	5	7	7	7	6	6	5	5	7	6	7	3	6	6	5	6	7	5	5	5	4	6	4	5	6	6	5
335	6	6	5	4	5	7	5	2	5	5	4	4	4	6	6	5	6	3	6	7	6	5	4	4	6	7	7	4	3	5	5	2	4	7	3	3	5	1	5	2	5	5	5	4
336	6	6	5	4	7	6	4	3	4	6	4	7	6	7	5	7	7	2	5	5	6	5	6	4	6	6	7	4	1	5	7	6	7	6	7	6	5	2	5	7	7	5	5	7
337	6	6	4	4	5	7	1	4	5	6	6	5	1	6	6	6	6	2	4	4	5	6	6	1	5	6	6	6	5	5	6	6	5	5	5	2	6	3	4	2	6	6	6	6
338	6	1	4	7	1	7	1	7	4	1	1	7	1	7	7	7	6	1	5	7	7	1	6	2	3	7	5	2	1	3	4	5	7	7	7	4	1	3	4	1	6	4	5	7
341	6	6	6	5	6	5	5	2	4	4	3	5	5	7	6	6	6	2	7	7	6	3	6	4	4	6	7	2	1	5	6	7	5	7	7	3	4	2	5	7	7	5	5	6
342	6	6	7	3	7	7	6	4	5	5	5	7	4	7	7	2	6	3	9	3	6	1	6	5	2	2	5	6	4	7	6	1	5	7	5	1	1	6	6	1	6	4	3	2
344	6	6	6	5	6	4	4	5	6	6	4	7	3	7	5	6	5	4	6	6	6	5	3	5	4	6	6	3	2	6	6	6	6	6	6	4	5	5	5	1	6	2	2	5
345	7	7	7	7	7	2	6	1	7	6	6	4	2	7	7	7	6	5	7	7	7	6	7	6	5	4	6	5	1	7	7	6	6	7	3	6	4	6	3	7	7	1	2	6
346	6	6	6	6	6	6	6	5	4	5	3	6	6	6	6	6	6	1	6	6	6	3	7	6	2	6	6	2	1	6	7	5	6	6	6	4	3	3	3	7	6	6	6	6
348	6	6	5	6	6	5	3	4	2	3	4	4	3	7	4	6	5	4	6	6	5	4	5	5	4	4	5	4	2	4	5	5	4	6	5	2	3	3	6	3	4	6	7	4
349	6	7	5	4	5	7	1	4	4	5	5	5	4	6	7	6	6	2	6	5	5	6	4	2	7	7	7	4	3	5	6	3	5	6	4	2	7	3	4	2	6	6	6	5
355	7	7	7	2	6	7	5	2	7	7	7	7	4	7	4	6	5	2	7	6	6	7	5	3	2	7	7	6	3	7	7	3	6	7	5	1	7	2	7	6	6	7	7	6
357	6	6	5	3	5	7	6	1	3	4	1	6	1	6	5	6	6	4	5	6	6	4	4	3	6	6	6	3	1	5	5	5	5	6	5	1	3	1	6	6	7	4	4	5
358	5	7	6	5	7	7	1	5	4	3	2	3	2	7	6	6	7	4	7	6	6	2	5	4	5	7	7	3	1	3	5	5	6	7	5	3	1	2	7	2	7	2	5	5
359	5	5	5	3	5	5	1	6	2	3	3	6	4	6	6	5	5	4	4	6	6	3	7	4	6	5	6	3	2	5	5	4	6	5	4	7	2	3	4	5	4	2	4	4
361	7	6	6	6	5	5	2	3	2	5	2	6	1	7	7	5	6	2	6	7	6	4	6	2	2	6	7	1	1	4	7	6	6	6	6	5	3	3	6	7	7	6	6	6
363	6	5	5	4	6	6	3	4	4	4	4	6	3	7	6	5	6	2	5	7	6	6	6	4	5	6	6	4	1	4	6	5	6	6	5	4	6	2	5	1	7	4	5	6
365	7	7	7	2	7	7	7	1	7	7	7	7	7	7	7	7	7	1	7	7	7	7	6	7	7	7	7	4	1	7	7	1	7	7	5	1	5	1	7	1	7	4	2	5
369	7	5	3	1	3	6	1	3	5	4	2	1	1	7	7	3	4	4	7	5	5	6	3	1	7	6	7	4	4	5	4	7	1	6	3	4	5	1	5	5	7	2	4	2
370	4	6	5	5	7	6	7	2	6	6	5	7	7	7	7	3	5	3	5	5	5	3	5	5	3	5	5	5	6	5	7	2	6	7	6	6	3	4	6	6	7	7	6	6
374	5	6	6	4	5	5	1	2	3	4	4	6	1	6	7	6	7	2	6	7	7	2	5	5	5	5	7	3	1	5	6	6	5	6	6	4	3	7	6	6	4	2	6	6
378	5	6	6	5	4	4	3	6	4	3	2	5	3	6	3	5	7	3	5	4	5	4	3	2	4	4	5	4	2	5	5	3	4	6	4	3	3	3	5	2	4	6	5	4
379	5	6	7	3	3	6	6	5	4	6	5	4	2	7	7	3	5	7	7	6	6	5	4	4	1	7	6	7	4	6	3	2	4	6	4	3	3	5	7	1	5	5	4	6
380	5	6	4	4	6	6	1	4	3	4	2	4	3	6	5	5	6	3	6	5	6	4	6	3	3	6	6	5	1	3	6	6	4	6	4	6	3	1	3	6	6	3	4	6
383	7	2	1	2	7	3	5	2	1	1	1	5	1	7	1	4	6	1	6	5	5	4	7	3	2	6	6	4	3	1	5	7	7	7	5	5	1	3	1	1	7	2	6	7
385	5	3	7	1	7	2	1	4	5	3	3	7	5	7	1	3	7	2	6	6	6	1	7	4	7	5	6	1	1	7	6	6	6	6	6	3	1	3	5	6	7	4	5	6
392	7	7	7	3	6	6	3	2	4	5	5	3	1	6	7	3	5	1	7	6	7	2	6	1	6	6	6	5	3	6	6	1	5	7	3	1	2	1	7	1	7	4	6	4
397	7	7	7	4	6	7	5	1	3	7	4	5	1	7	5	6	6	1	7	5	6	7	5	5	7	7	7	5	2	5	7	5	6	7	6	7	6	1	7	1	4	6	6	6
398	7	7	7	4	6	7	6	4	6	6	6	7	4	7	7	3	7	4	7	7	7	7	6	6	6	6	7	6	5	7	6	4	7	7	7	4	6	3	6	5	6	4	4	7
399	6	6	5	7	7	1	4	7	6	1	4	6	1	7	1	7	7	7	7	5	6	2	7	3	5	7	7	5	1	4	0	5	6	5	6	5	3	3	5	5	3	1	7	5
400	5	4	4	4	5	7	4	7	4	5	4	5	6	6	4	3	5	4	6	5	5	4	6	5	4	5	5	1	3	4	5	6	5	6	5	6	2	4	6	5	6	4	6	6
401	5	7	7	4	5	7	3	1	5	7	6	6	4	7	7	6	7	4	6	7	7	5	5	4	7	7	7	6	1	6	4	2	5	7	5	3	6	1	6	6	7	5	6	5
402	7	6	7	5	6	6	7	4	6	5	5	7	5	7	6	7	7	4	7	7	7	5	7	7	4	4	7	4	1	6	6	6	7	7	7	6	5	5	5	3	7	6	6	7
403	6	6	4	5	5	6	5	4	5	5	4	5	4	6	6	5	6	4	5	5	5	3	3	6	5	7	5	5	3	4	4	2	4	6	4	4	3	2	6	3	7	6	5	5
404	7	7	7	4	5	7	4	2	7	7	7	7	2	7	6	6	7	4	7	7	7	7	5	7	7	7	7	7	9	7	5	3	6	7	6	2	7	2	7	2	6	6	7	5
405	7	6	7	6	6	6	5	1	4	4	4	5	5	7	5	6	6	4	7	6	6	6	6	4	5	6	6	5	2	6	6	5	5	7	5	2	6	2	5	2	6	4	5	5
406	7	6	4	6	5	7	2	4	6	6	4	7	6	7	7	5	7	5	6	6	7	6	7	2	4	7	7	7	1	3	5	2	5	5	6	4	6	2	5	3	7	6	6	6
407	6	4	1	7	7	3	7	2	3	6	1	5	7	7	4	7	6	2	5	5	4	2	5	3	1	3	4	3	1	2	7	4	6	7	5	5	2	4	6	7	5	5	5	6
413	7	5	5	4	6	4	1	3	4	4	3	6	5	7	6	6	7	4	6	6	5	5	6	3	5	5	7	3	2	5	6	6	6	6	5	4	4	2	7	4	4	3	4	6
414	6	7	6	4	6	6	1	3	5	4	3	7	6	7	7	5	6	4	5	4	7	4	7	3	4	6	7	7	1	7	5	5	6	5	7	4	3	7	7	6	7	4	1	7
417	6	7	5	4	5	7	3	2	6	6	5	4	4	7	4	5	5	4	6	5	4	6	4	3	5	7	6	6	4	5	4	3	4	6	4	2	6	3	6	4	6	4	4	4
418	6	5	7	5	6	6	4	4	5	6	6	7	5	7	6	6	7	1	6	6	6	5	7	6	5	6	6	4	1	7	7	4	7	7	6	1	5	1	5	7	7	2	4	7
420	7	5	7	5	7	5	4	6	4	6	7	7	7	7	6	7	6	4	6	6	6	4	7	4	6	5	5	7	1	7	7	6	6	6	6	2	4	5	6	2	7	5	5	6
421	3	7	4	3	4	4	1	4	5	5	5	5	6	7	6	5	6	5	7	5	6	3	6	3	4	6	7	3	1	2	4	4	6	6	5	5	2	5	5	6	6	5	5	6
424	6	4	7	4	4	7	5	3	4	5	3	6	5	7	4	5	4	5	6	4	5	3	4	6	3	6	4	4	2	7	4	4	5	6	6	7	2	3	7	6	7	4	4	6
425	5	5	6	4	5	5	1	4	4	6	4	6	5	6	5	6	7	3	6	6	6	6	5	5	6	5	6	4	1	5	5	4	6	6	6	5	6	3	5	4	6	5	5	6
434	7	5	3	4	6	4	1	3	4	3	3	6	5	7	3	6	6	1	6	7	7	4	5	4	4	4	7	4	1	4	7	6	6	7	7	4	4	2	4	7	4	1	2	6
438	7	5	6	6	7	6	4	2	5	5	2	7	7	7	5	7	7	2	7	6	6	6	6	4	6	6	7	3	1	5	7	4	7	6	6	3	6	3	6	6	6	4	5	6
439	7	7	7	5	6	4	4	1	3	6	2	7	5	7	7	7	5	2	5	6	6	6	6	5	6	5	7	3	1	7	6	5	6	7	6	6	5	1	5	6	5	5	4	6
440	5	7	5	3	6	3	1	7	2	4	1	7	2	7	6	6	6	1	7	6	7	2	7	3	3	3	7	2	1	2	5	5	6	7	7	6	1	1	5	1	2	2	5	7
441	7	5	6	7	5	5	3	1	3	5	5	5	3	6	3	5	7	1	6	7	6	4	7	5	5	6	6	4	1	5	6	5	5	7	5	6	4	3	4	1	7	4	5	6
442	5	5	7	3	3	7	4	3	5	3	6	6	5	7	7	4	5	4	5	5	5	3	5	3	5	5	5	1	1	6	5	3	5	5	5	5	3	3	3	2	7	4	4	5
443	6	7	7	5	5	7	6	3	6	6	4	6	5	7	7	5	6	3	6	6	6	6	5	7	7	7	6	5	3	6	5	3	5	6	5	5	5	6	7	3	7	6	6	5
445	5	7	7	5	6	7	2	1	7	7	7	5	5	7	4	7	5	1	5	5	4	7	7	4	4	7	7	7	1	7	7	3	3	7	4	1	7	1	7	5	1	7	7	4
446	6	5	6	4	6	7	5	3	3	4	3	6	6	6	5	6	5	3	6	5	3	2	6	6	4	6	7	2	1	5	5	6	5	5	6	4	3	2	3	2	7	3	6	5
447	7	7	4	5	5	7	2	4	4	4	3	5	5	7	3	4	4	2	5	5	6	6	7	4	4	7	6	3	2	4	4	5	5	6	3	5	5	1	3	4	6	2	4	5
448	7	6	7	5	6	6	1	2	4	6	5	7	5	7	5	7	6	3	6	6	6	7	6	6	6	7	6	5	1	5	6	2	6	6	6	2	7	3	7	6	7	5	5	6
451	6	7	7	2	6	7	6	1	7	7	5	7	4	6	7	4	4	5	5	6	6	7	6	7	7	7	6	6	2	7	5	1	6	7	4	1	7	4	6	3	4	2	5	4
452	7	7	6	6	6	7	4	4	6	6	2	7	6	7	4	7	7	4	6	6	6	1	7	4	4	7	7	4	1	6	4	4	6	7	6	3	1	4	7	3	7	2	7	7
453	6	6	7	6	7	7	1	4	6	7	6	6	5	7	6	6	6	4	6	6	6	7	7	2	3	6	7	5	1	7	6	5	7	7	7	3	4	5	6	4	4	2	6	6
454	7	7	7	5	6	7	5	1	7	7	7	7	5	6	7	6	6	3	7	7	7	7	7	7	7	7	7	6	6	7	6	5	7	6	6	1	6	4	7	4	6	6	6	6
455	7	7	6	4	5	7	2	6	7	6	6	7	4	7	6	5	5	3	7	5	5	7	4	7	7	7	7	7	3	7	6	5	5	6	7	3	7	1	5	2	7	6	6	4
457	6	4	1	7	5	7	7	7	3	1	1	4	1	7	4	4	7	3	7	7	6	1	7	5	1	4	7	1	1	1	6	6	6	5	6	7	1	1	3	4	7	2	2	7
460	7	7	2	5	7	4	5	2	6	5	3	7	5	7	5	7	7	4	7	7	5	6	7	3	7	6	7	6	1	6	7	5	6	7	6	3	3	2	6	5	7	5	5	7
461	5	6	5	4	6	5	1	2	3	3	2	6	4	6	6	6	6	2	4	5	5	2	5	4	4	5	5	3	1	4	7	3	6	6	6	2	3	1	6	1	6	2	2	6
462	6	6	6	4	6	1	1	2	6	7	7	7	5	7	2	7	7	7	7	6	6	5	6	5	6	5	6	5	3	5	7	2	6	7	6	6	4	2	4	4	7	6	7	6
463	7	7	7	4	7	7	2	1	7	7	7	7	2	7	7	7	7	1	5	6	6	7	7	4	6	7	7	2	1	7	6	6	6	7	6	1	6	1	6	1	7	1	2	5
464	6	6	7	6	6	5	6	3	4	6	5	5	4	6	5	4	7	3	6	6	5	5	5	4	5	5	6	4	1	6	7	7	6	7	6	5	4	3	5	1	7	4	5	7
465	5	6	7	4	7	4	6	3	4	6	5	7	6	7	4	4	7	4	3	6	5	5	6	3	5	5	6	6	3	5	7	2	5	6	5	3	6	4	5	4	7	5	4	6
467	5	5	5	5	5	4	4	6	4	3	1	7	6	7	7	6	7	7	7	6	6	2	7	2	2	3	3	2	1	3	6	6	6	7	6	7	2	3	4	7	7	6	4	6
469	6	7	7	3	6	7	5	3	6	7	5	7	7	6	5	5	5	2	4	5	5	7	6	4	7	7	7	6	4	6	7	2	6	6	6	3	7	1	6	3	6	7	7	6
472	7	7	7	6	4	7	3	6	2	2	3	7	7	7	4	3	6	3	7	7	7	3	5	2	7	7	5	2	2	5	6	6	6	7	7	1	2	3	5	6	7	3	5	5
474	6	6	6	6	5	7	5	2	3	1	3	6	6	6	6	7	7	7	7	7	7	5	7	3	3	7	7	3	3	7	3	7	7	7	7	4	4	4	7	4	7	3	6	7
476	6	7	6	4	7	6	6	6	5	7	6	7	3	7	4	7	7	1	7	6	7	2	7	4	4	7	7	7	1	7	6	6	6	6	6	1	3	1	7	7	7	3	3	7
479	7	7	7	5	6	7	2	3	4	5	2	7	6	6	3	7	6	1	6	7	6	7	7	5	5	7	7	3	1	6	7	6	6	4	6	4	4	2	6	7	7	4	6	6
480	4	5	4	4	5	6	3	4	3	4	3	3	3	5	5	2	5	2	5	6	4	4	5	2	2	5	4	5	6	4	6	5	4	6	4	4	3	1	5	7	5	2	6	5
481	7	5	6	4	7	5	6	1	3	4	5	7	7	7	6	6	6	2	5	6	6	2	6	4	3	4	5	3	1	2	6	4	7	7	4	3	3	2	4	7	7	4	5	5
483	5	6	6	3	5	6	2	2	5	6	5	4	4	6	7	5	5	4	7	6	5	6	5	4	4	6	7	6	4	6	4	6	6	5	4	4	6	1	5	6	7	5	5	6
485	7	5	6	5	5	6	3	3	6	7	5	7	5	7	7	6	7	5	6	7	7	7	6	7	6	6	5	6	1	7	5	4	7	5	7	4	6	4	6	2	5	5	6	6
486	7	7	7	6	6	7	3	2	2	2	2	7	6	7	3	7	7	2	5	5	7	2	6	2	5	7	6	2	1	2	7	6	6	7	6	4	3	2	3	7	4	1	2	6
487	6	7	7	5	7	7	4	1	6	6	4	7	5	7	5	5	6	4	5	5	5	5	5	2	7	6	6	2	1	5	7	2	7	6	7	2	4	3	4	6	7	5	5	7
489	6	5	5	5	5	5	4	3	5	5	5	5	5	6	4	4	5	3	4	5	4	5	5	4	5	5	5	4	3	4	5	3	4	6	5	2	5	2	5	2	6	6	6	5
490	6	7	5	4	6	7	6	3	6	6	5	4	5	6	6	5	4	4	5	6	5	7	5	5	6	7	6	5	4	4	5	2	3	5	4	4	7	2	6	2	6	5	7	4
491	6	5	7	3	6	7	4	1	6	7	7	7	7	7	7	7	7	1	7	7	7	7	7	7	7	7	7	7	1	7	7	3	7	7	7	7	7	1	7	7	4	7	7	7
493	6	6	7	6	6	7	3	2	4	6	3	6	7	6	5	6	5	3	7	6	5	6	3	6	6	7	7	5	2	5	6	4	6	7	6	5	5	5	6	3	6	6	7	6
494	7	7	3	5	7	7	3	3	3	3	2	6	3	7	5	7	7	1	6	6	7	7	6	3	6	7	7	1	1	5	6	6	6	6	6	1	6	2	5	7	7	2	5	7
495	7	7	7	6	6	7	5	1	6	6	6	7	6	7	6	7	5	4	7	7	6	6	6	5	6	7	7	6	1	7	6	1	6	6	5	2	6	2	6	7	7	5	6	5
496	5	4	7	2	6	5	1	1	5	7	6	7	6	7	6	6	5	6	6	6	6	7	6	1	4	4	6	4	1	7	5	1	5	6	4	6	6	3	7	7	7	3	3	6
497	6	7	7	3	6	7	1	3	6	7	7	3	2	6	7	6	6	2	7	6	5	6	5	6	7	7	7	7	3	7	0	6	2	0	5	7	6	1	7	4	5	7	7	5
498	7	6	7	6	7	6	4	4	5	5	3	7	5	7	7	6	6	2	6	6	6	6	6	5	5	5	6	5	1	7	6	6	6	6	6	5	6	4	5	4	7	6	6	6
499	6	6	5	5	6	5	3	2	4	3	4	5	3	7	7	6	6	1	7	7	6	5	7	3	5	7	7	3	1	5	7	6	6	7	6	3	5	1	4	5	5	5	4	7
500	4	5	5	5	5	5	2	4	3	3	3	5	4	6	2	5	6	4	7	6	6	3	7	2	4	6	7	2	1	4	5	6	6	6	6	5	4	2	4	6	6	4	3	6
501	7	7	6	4	6	7	3	2	3	6	5	7	3	7	9	5	4	1	5	6	6	2	5	3	4	5	6	2	1	3	7	6	5	7	7	3	2	1	6	2	7	3	5	6
502	6	7	5	4	6	6	4	1	6	6	6	6	3	6	4	6	6	5	5	6	5	6	6	5	6	7	6	6	1	6	6	4	6	5	6	3	6	1	6	4	6	4	6	5
503	6	7	5	6	7	7	3	1	5	5	4	7	4	7	4	7	7	1	7	7	7	6	7	2	5	7	7	4	1	4	7	7	6	7	7	3	4	1	5	7	7	4	7	5
504	7	6	6	5	6	6	7	3	5	6	6	6	3	7	6	6	6	4	6	6	6	6	6	5	5	6	7	4	1	6	6	3	6	7	6	4	6	1	6	6	6	7	6	5
505	7	7	6	4	6	7	7	3	5	6	5	6	4	7	6	5	7	1	7	7	7	6	7	5	6	7	7	5	1	6	6	5	5	7	5	1	5	2	5	6	7	6	6	5
506	7	6	7	3	7	4	7	1	5	5	2	7	4	7	5	6	7	3	6	6	6	6	6	3	5	6	7	2	1	7	7	6	7	7	6	1	5	1	4	6	7	7	4	6
509	7	7	7	4	7	7	2	1	7	7	7	5	7	7	9	5	7	3	7	6	6	7	7	5	7	7	7	6	1	6	6	3	6	6	6	4	7	1	5	4	7	4	4	6
512	7	7	5	4	6	7	2	2	3	5	4	6	6	7	5	7	5	2	6	5	6	7	6	4	7	7	6	6	1	6	7	6	6	7	6	3	7	1	5	1	4	4	5	6
513	6	6	5	3	5	7	1	7	7	7	7	7	7	7	6	6	6	1	6	6	6	5	6	5	6	7	7	5	1	5	5	5	6	5	6	5	4	1	4	4	7	2	6	7
514	6	5	5	5	6	6	4	5	4	4	4	6	4	7	6	5	7	7	7	7	7	5	7	5	5	5	7	4	1	3	5	6	6	6	6	6	4	1	4	2	7	4	4	6
515	6	7	7	3	5	5	4	4	4	5	4	4	4	7	7	6	7	7	7	6	5	2	4	5	7	5	6	5	4	7	6	5	7	6	6	7	4	2	4	6	7	5	5	7
517	5	5	6	4	5	5	3	3	5	6	5	6	5	6	6	6	5	4	5	5	5	4	4	4	4	5	6	5	1	4	5	3	5	5	5	3	3	4	4	3	5	3	6	5
518	7	7	6	6	7	7	2	5	6	6	6	5	5	7	6	4	6	2	6	7	7	6	6	4	7	7	7	4	1	7	7	7	7	7	4	5	6	1	7	7	7	7	7	6
519	6	7	7	5	5	6	7	3	4	5	4	6	4	7	4	6	5	3	4	6	5	4	5	5	4	6	6	4	1	4	6	4	6	7	5	3	3	4	6	5	7	5	5	5
520	7	7	7	4	5	7	3	3	3	7	4	7	7	7	3	5	7	7	5	7	6	2	5	2	2	7	7	5	1	7	5	6	6	7	5	3	2	1	7	6	3	2	4	4
521	7	7	5	7	6	7	1	7	4	4	3	6	1	6	5	5	7	1	6	6	7	2	7	6	5	7	7	2	1	4	6	6	6	6	6	3	4	1	4	1	7	3	4	7
522	7	7	7	4	6	7	7	3	6	6	7	6	5	6	5	6	7	1	6	6	6	7	6	5	7	7	7	7	1	7	7	3	6	6	5	2	7	1	6	4	7	7	7	6
