"PERS01" "PERS02" "PERS03" "PERS04" "PERS05" "PERS06" "PERS07" "PERS08" "PERS09" "PERS10" "PERS11" "PERS12" "PERS13" "PERS14" "PERS15" "PERS16" "PERS17" "PERS18" "PERS19" "PERS20" "PERS21" "PERS22" "PERS23" "PERS24" "PERS25" "PERS26" "PERS27" "PERS28" "PERS29" "PERS30" "PERS31" "PERS32" "PERS33" "PERS34" "PERS35" "PES36" "PERS37" "PERS38" "PERS39" "PERS40" "PERS41" "PERS42" "PERS43" "PERS44"
"147" 5 3 4 1 4 1 5 2 5 4 5 3 5 2 3 4 4 3 4 3 1 5 2 4 4 4 1 4 1 1 1 5 5 4 3 5 1 3 2 3 3 4 3 2
"148" 5 4 4 3 4 4 4 2 2 4 3 2 4 4 4 4 3 2 4 5 1 5 2 3 4 4 1 5 4 5 4 5 4 2 1 4 1 3 4 5 3 4 4 3
"149" 2 5 5 1 5 2 5 1 5 5 5 1 5 2 5 5 1 1 4 5 2 2 1 1 5 3 2 5 4 3 2 4 5 5 1 2 4 5 1 5 1 5 1 3
"150" 4 3 4 2 3 3 4 2 3 4 4 2 4 3 3 3 3 2 4 3 2 4 3 3 3 4 2 4 3 2 4 4 3 3 3 3 2 4 3 3 3 4 2 3
"151" 1 2 1 4 2 3 2 3 2 1 3 2 1 4 2 4 3 4 1 4 3 4 5 1 1 4 5 1 4 3 5 4 4 4 2 2 3 2 4 4 4 1 5 2
"152" 3 2 5 1 4 4 4 1 4 5 4 2 5 4 4 3 4 3 4 4 4 4 2 3 4 3 2 4 2 3 4 4 5 3 4 4 2 3 4 3 3 4 2 3
"153" 3 4 3 3 4 3 4 4 3 4 4 4 3 4 2 4 2 3 4 4 2 5 4 2 2 4 2 3 4 2 3 3 3 3 3 5 4 3 4 4 4 3 3 2
"154" 3 4 5 2 4 3 3 4 5 4 4 3 5 1 5 3 2 2 1 5 3 4 2 4 4 4 2 4 3 2 2 3 4 4 3 5 4 4 1 4 3 4 4 3
"155" 4 4 3 1 3 2 4 3 1 4 3 2 4 4 3 3 5 4 4 5 3 5 4 2 4 2 1 4 4 4 4 4 3 2 1 4 2 2 4 4 1 5 5 4
"156" 5 3 5 1 5 1 5 1 5 5 5 1 5 1 5 5 4 1 1 5 1 5 1 5 5 5 1 5 1 3 1 5 5 5 1 5 3 5 1 5 1 5 1 1
"157" 5 5 4 2 5 1 4 3 2 5 4 2 5 5 5 5 4 2 5 5 1 5 3 2 5 5 2 3 4 5 2 3 5 5 3 5 2 3 1 5 1 5 4 5
"158" 5 2 5 1 5 3 5 1 3 4 5 1 5 3 4 4 2 1 4 5 4 4 1 3 5 5 1 5 4 5 3 5 5 3 5 4 1 5 3 4 1 3 2 5
"159" 5 3 5 2 4 3 3 2 3 4 3 4 5 4 5 4 5 1 3 5 1 5 2 2 4 NA NA NA NA 2 4 4 NA NA NA NA 3 4 5 2 3 4 4 3
"160" 2 2 2 1 2 1 4 4 4 1 3 2 1 2 4 4 2 4 5 4 3 3 4 5 1 3 2 3 4 5 3 2 5 3 1 4 4 2 2 5 5 4 4 4
"161" 5 2 4 2 4 1 4 4 4 2 5 1 4 3 4 4 5 5 4 4 1 5 4 3 5 3 1 3 3 5 1 3 2 4 3 4 3 3 3 4 1 5 4 5
"162" 5 4 4 3 4 1 4 4 3 4 5 5 5 4 4 5 4 1 1 3 1 4 3 4 4 4 1 5 5 3 1 4 2 3 4 5 4 4 4 4 1 5 4 4
"163" 2 1 4 5 4 5 4 4 1 4 2 1 4 5 3 1 5 1 5 4 4 4 5 1 5 2 4 3 4 5 5 4 5 2 1 2 1 5 4 5 1 4 3 5
"164" 4 4 4 2 3 2 5 2 3 2 2 3 4 1 2 2 3 4 1 2 2 4 5 2 4 1 1 2 3 2 3 4 4 5 2 5 4 2 2 2 4 2 1 2
"165" 5 4 5 2 3 2 5 3 5 5 5 3 5 2 3 4 4 1 5 4 3 4 3 4 2 3 4 4 5 4 4 4 5 4 3 5 4 5 3 3 3 3 3 4
"166" 3 1 4 4 4 4 4 4 2 4 2 1 4 4 3 3 4 4 4 4 4 4 3 3 4 2 1 4 4 4 4 4 2 2 2 3 1 2 4 4 2 4 4 3
"167" 4 2 5 1 1 3 4 4 1 5 4 1 5 5 4 4 3 3 4 3 4 4 1 2 3 2 1 5 2 5 5 5 3 2 3 4 1 5 5 4 4 4 2 3
"168" 4 2 5 1 4 4 4 2 3 4 4 2 4 2 3 4 4 2 2 4 4 4 2 4 4 3 1 4 4 5 4 4 4 4 3 3 2 4 4 3 2 4 4 4
"169" 1 3 2 3 2 4 3 4 3 4 4 5 2 4 3 5 5 4 2 3 5 4 4 4 4 5 4 2 4 2 5 4 4 4 5 3 4 1 2 3 3 2 4 3
"170" 2 4 2 4 1 4 2 4 2 4 3 2 1 5 2 2 3 4 4 1 4 2 4 2 4 2 3 1 3 4 3 2 3 3 4 2 4 2 4 2 3 3 4 2
"171" 2 4 5 5 2 4 1 2 1 5 1 1 5 5 5 3 1 3 5 3 4 3 2 1 3 2 4 5 4 1 4 3 4 3 3 2 1 2 4 4 5 5 3 2
"172" 4 4 5 4 1 2 5 2 1 4 3 1 4 5 1 3 4 1 5 4 4 5 4 1 1 3 1 4 5 3 4 5 4 2 4 4 1 5 5 1 3 5 4 3
"173" 5 4 4 1 5 1 2 3 5 5 5 1 4 1 4 5 3 4 1 5 1 4 4 4 5 5 1 4 2 4 2 5 4 5 3 5 2 3 2 4 4 5 4 5
"174" 4 4 5 2 3 3 4 4 3 4 3 1 5 3 1 3 4 2 2 5 3 4 3 5 4 3 3 4 2 5 2 3 4 4 3 4 2 4 1 3 1 4 3 5
"175" 4 3 4 1 3 4 1 4 5 5 4 3 3 4 5 2 1 4 3 5 5 5 3 5 3 4 3 3 3 3 2 5 4 2 5 4 1 5 4 5 3 5 1 5
"176" 5 4 5 3 4 3 4 2 2 3 3 2 5 4 3 4 3 1 4 4 3 4 1 3 2 4 3 4 4 3 2 4 5 4 3 4 4 2 4 3 3 4 3 3
"177" 3 3 4 1 4 4 4 3 4 5 4 2 4 2 5 3 4 4 1 4 4 4 2 5 4 4 2 5 2 4 4 4 4 4 3 2 1 5 1 4 1 4 4 4
"178" 3 1 5 3 4 4 5 1 4 5 4 1 5 4 3 3 2 1 2 4 5 4 3 5 4 3 2 5 2 3 5 5 4 4 2 4 1 5 1 5 1 5 1 3
"179" 4 4 4 4 2 1 5 4 1 3 4 1 4 5 1 4 5 5 5 4 1 5 4 2 1 2 1 4 5 4 4 5 2 2 5 5 1 4 4 3 2 5 5 1
"180" 3 4 4 1 3 3 4 1 5 4 3 2 3 1 3 3 2 2 3 5 4 3 1 4 3 3 3 5 4 3 4 3 4 5 3 3 4 2 3 3 3 4 3 3
"181" 4 4 4 4 5 3 4 5 4 5 4 1 5 4 1 5 5 3 3 5 3 5 5 3 5 3 1 1 5 4 3 5 3 3 3 4 3 3 5 3 5 3 5 5
"182" 3 1 3 1 2 1 4 4 4 5 2 3 5 4 2 2 5 5 1 4 4 5 4 3 2 2 3 4 5 4 4 3 4 2 4 4 2 3 4 3 2 4 5 4
"183" 5 4 4 3 4 3 3 2 3 3 4 4 4 3 4 4 2 2 3 3 2 4 4 3 4 3 2 3 4 3 2 4 4 2 3 4 3 3 2 3 2 4 3 1
"184" 1 5 2 3 1 3 1 5 1 4 3 2 1 5 1 3 3 2 2 4 4 1 3 4 3 1 4 1 3 4 5 1 4 5 4 3 5 1 3 1 4 1 5 1
"185" 4 4 3 5 3 NA NA NA NA 3 2 2 3 3 2 4 4 2 3 4 4 4 4 4 4 5 2 2 3 3 3 4 3 4 2 2 2 2 4 3 3 4 3 4
"186" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 5 2 5 3 4 1 5 1 4 5 4 1 5 3 3 5 5 1 2 4
"187" 1 1 4 3 3 3 4 1 2 3 2 1 5 5 3 2 5 3 5 3 5 5 1 2 2 2 2 3 3 3 4 5 4 3 4 2 1 3 5 3 3 3 3 3
"188" 1 2 5 5 4 5 3 4 1 4 3 3 2 5 1 4 2 3 2 1 4 4 4 1 4 4 3 3 4 2 4 4 4 4 4 3 3 1 5 1 2 2 4 3
"189" 3 4 3 5 2 4 3 1 1 3 2 1 4 5 3 2 3 1 5 2 4 5 4 1 2 2 4 3 5 4 5 4 4 1 5 1 4 3 2 3 2 2 2 4
"190" 3 2 4 1 4 2 5 2 4 4 4 1 5 2 3 4 5 1 1 4 1 5 1 4 3 4 1 4 1 4 1 4 4 4 3 4 1 4 1 4 1 4 1 4
"191" 3 4 3 2 4 4 3 2 2 4 3 1 4 2 3 3 4 2 4 3 3 4 2 3 3 2 1 4 4 4 3 2 4 4 3 3 1 4 2 3 1 4 2 3
"192" 4 2 6 1 4 3 5 2 3 4 2 1 5 4 4 3 4 2 4 4 4 5 1 3 4 2 1 4 4 2 4 5 5 4 2 3 1 4 2 4 3 5 2 2
"193" 4 2 5 2 4 4 4 1 2 4 1 1 5 4 4 3 4 2 3 3 4 3 1 3 4 4 1 5 4 3 4 5 5 4 1 4 3 4 5 4 4 5 3 3
"194" 4 2 5 4 4 3 4 1 2 3 3 1 5 4 4 4 4 1 4 4 4 4 2 4 4 2 1 4 4 4 4 4 5 4 3 4 2 4 3 4 2 4 2 3
"195" 4 1 5 1 5 4 5 2 5 5 5 1 5 4 5 5 5 1 4 4 4 5 2 4 4 3 1 4 4 3 4 5 5 5 4 4 1 4 2 4 3 4 1 5
"196" 2 3 4 4 3 4 4 3 3 3 2 1 4 4 4 2 4 3 4 4 4 4 3 3 3 2 3 3 4 4 4 3 3 3 3 2 3 3 4 4 2 3 3 3
"197" 5 3 3 1 4 3 4 2 4 4 4 3 4 2 2 2 5 3 3 4 1 5 1 4 3 3 2 3 3 3 4 4 4 2 3 5 2 4 3 3 3 4 4 4
"198" 3 3 5 1 4 4 5 3 2 5 4 1 5 3 5 5 5 1 4 5 5 5 1 5 5 5 1 5 3 5 5 5 5 3 3 2 1 5 5 5 1 5 1 5
"199" 5 4 4 4 2 1 5 2 2 4 4 2 5 3 2 3 3 1 1 3 1 5 1 4 3 4 1 4 2 3 1 5 4 5 2 5 3 2 1 3 2 4 3 2
"200" 5 2 3 1 2 2 4 2 4 4 3 1 5 2 2 3 5 2 4 3 3 5 2 4 2 4 1 5 4 3 4 4 4 4 3 3 2 4 1 2 4 4 3 3
"201" 3 4 3 5 4 1 3 4 1 5 2 4 3 5 4 4 2 2 5 5 3 5 4 3 4 3 4 4 5 3 1 3 2 1 4 4 4 3 3 3 4 3 3 2
"202" 4 4 4 2 4 3 3 3 3 4 3 1 4 2 3 3 3 3 3 4 3 4 3 3 3 3 2 3 4 4 3 3 3 3 3 3 4 3 4 3 1 3 2 3
"203" 2 3 5 2 3 3 4 2 1 3 3 1 5 5 3 2 4 3 4 4 5 5 3 1 3 2 4 3 5 5 5 4 4 2 4 4 3 3 4 2 1 3 4 4
"204" 3 2 5 5 4 3 5 2 5 5 4 3 5 5 1 2 1 2 5 5 5 5 5 4 4 3 4 3 5 3 3 3 3 5 5 2 5 4 5 5 4 5 5 4
"205" 5 4 5 1 5 1 4 4 5 5 4 4 5 3 4 5 5 5 1 5 1 4 3 5 5 5 1 3 5 5 4 5 4 4 3 5 1 3 2 4 1 2 4 4
"206" 3 2 4 2 4 3 4 2 4 3 3 2 4 2 4 3 4 2 2 3 3 4 2 2 4 2 2 4 4 5 4 4 4 3 2 4 3 3 2 4 1 4 2 4
"207" 5 4 5 4 3 2 4 4 3 4 5 1 5 4 5 5 4 2 4 5 1 4 2 3 3 3 1 4 2 3 1 4 4 4 5 4 3 4 4 4 3 3 3 2
"208" 1 3 2 3 2 5 3 5 4 3 4 3 3 3 3 4 3 4 5 5 5 3 4 4 4 4 3 2 4 4 5 4 5 3 3 3 2 3 3 NA NA NA NA 4
"209" 1 2 4 3 5 5 4 2 3 5 4 5 5 5 5 3 2 1 4 5 4 2 1 4 5 4 3 4 5 5 2 3 4 5 3 1 4 4 1 4 1 2 1 5
"210" 4 3 4 1 4 3 2 1 3 4 4 1 5 4 4 3 5 4 5 5 4 3 2 3 1 3 4 3 5 5 4 3 3 4 1 5 4 3 4 3 4 5 4 4
"211" 3 4 5 1 4 4 3 4 3 4 3 1 4 4 3 NA NA NA NA 3 1 4 4 4 2 1 3 4 1 3 5 4 5 5 4 4 3 5 3 2 5 4 4 5
"212" 4 4 3 2 4 2 5 3 4 4 4 3 3 2 4 3 5 4 2 4 2 3 4 3 4 3 2 4 2 5 3 3 4 3 1 4 5 3 3 4 2 5 5 4
"213" 2 4 3 5 4 3 4 3 4 5 4 1 4 4 5 4 2 2 4 4 4 4 3 2 4 4 4 3 4 5 4 4 3 3 1 2 3 3 4 4 3 3 2 5
"214" 5 4 5 2 3 2 3 3 3 3 4 4 3 3 3 4 4 3 3 4 1 3 4 3 4 5 5 4 4 3 1 3 3 3 1 5 5 2 3 2 4 2 4 3
"215" 5 3 4 3 5 1 5 1 1 5 4 3 5 4 5 4 4 1 5 5 1 5 3 1 4 4 1 4 5 4 3 5 5 2 3 5 3 4 4 4 4 5 5 3
"216" 5 3 5 1 3 5 5 4 4 3 5 3 5 4 4 3 4 3 4 1 1 5 1 4 3 3 4 5 4 5 1 5 4 4 3 5 1 5 3 2 2 5 4 3
"217" 1 5 4 2 3 5 1 4 3 4 5 5 3 2 3 5 5 5 5 1 5 1 5 4 3 5 5 1 3 5 5 1 5 3 5 3 5 1 4 1 5 1 5 5
"218" 4 2 2 3 3 4 5 3 2 4 2 1 4 4 3 2 4 5 4 4 4 5 5 2 2 2 2 2 5 3 4 4 2 2 4 2 2 1 4 4 3 4 3 2
"219" 3 2 4 4 1 4 5 4 1 5 3 1 5 4 5 3 5 4 5 4 3 5 2 2 3 3 1 2 3 5 4 5 3 4 4 3 1 2 4 3 3 4 4 3
"220" 1 1 4 2 4 3 3 2 4 2 4 4 2 1 5 4 3 4 3 1 4 4 1 4 1 4 3 5 2 5 4 4 2 4 4 4 3 5 2 4 2 4 2 4
"221" 4 1 4 4 4 4 5 4 4 5 4 1 4 3 5 5 5 5 5 5 4 5 1 2 4 3 1 3 2 5 4 5 4 5 3 5 1 2 1 5 3 4 5 4
"222" 3 2 4 5 3 4 4 2 1 5 2 1 5 5 4 2 4 3 5 5 5 4 1 1 3 4 1 3 5 5 4 5 4 1 4 3 1 3 5 5 5 4 3 4
"223" 1 1 3 1 4 1 3 1 5 1 3 4 3 1 5 1 3 3 4 3 1 3 4 4 1 4 3 3 1 4 4 3 3 4 5 4 3 3 1 4 3 3 1 3
"224" 4 1 4 1 4 2 5 1 4 4 5 1 4 1 4 4 3 2 1 4 3 4 1 3 5 3 1 5 3 5 3 5 4 3 3 4 1 4 2 4 1 5 1 3
"225" 5 4 5 3 3 2 5 1 2 5 3 1 5 4 5 4 5 1 5 2 2 4 2 2 3 4 1 5 1 3 4 5 5 4 4 5 1 5 4 5 2 4 4 3
"226" 1 4 2 5 1 3 2 4 2 4 5 4 2 5 4 3 4 3 1 2 3 1 2 1 2 3 4 2 5 2 5 2 4 4 3 2 4 2 5 2 3 2 4 2
"227" 3 4 5 2 3 3 5 1 2 3 2 1 5 3 2 3 4 1 2 3 3 5 1 2 3 3 1 5 2 3 3 5 5 4 2 3 1 5 3 3 3 4 1 3
"228" 4 4 4 4 1 4 3 3 2 4 3 1 1 2 1 4 4 3 2 4 4 5 4 2 1 1 3 2 5 5 5 5 4 3 1 4 1 3 5 3 1 4 3 3
"229" 3 2 3 4 2 2 4 3 2 3 4 2 1 4 3 4 2 3 2 3 5 5 4 3 3 3 3 3 3 4 3 4 4 3 4 3 2 2 3 4 3 2 3 2
"230" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3 3 4 2 4 4 5 1 3 4 5 1 4 1 5 4 5 2 1 4
"231" 2 2 5 3 3 4 4 2 4 5 5 1 5 5 5 3 2 1 5 4 5 4 1 2 2 2 1 5 4 4 5 4 5 3 4 2 1 5 4 5 4 4 1 4
"232" 4 2 2 4 3 2 3 4 2 3 2 2 3 4 3 2 2 4 4 3 2 3 4 2 2 2 3 3 4 2 3 2 2 2 5 4 2 3 4 3 4 4 4 3
"233" 5 3 5 1 4 1 4 1 4 4 1 1 5 3 4 4 5 1 2 4 1 5 3 5 4 4 1 5 3 3 1 4 5 4 2 5 1 4 3 4 3 2 4 2
"234" 1 5 3 3 2 3 1 5 5 5 5 4 1 5 5 3 3 5 5 5 5 1 5 5 5 4 3 1 4 5 2 4 3 3 4 3 5 3 4 5 5 2 4 5
"235" 5 4 4 4 4 4 4 4 4 2 4 2 4 4 2 4 4 3 3 2 2 4 1 4 2 5 4 4 3 3 3 3 3 2 3 4 4 4 4 2 4 4 4 5
"236" 5 4 3 1 3 1 4 2 4 3 2 2 3 2 3 3 4 1 2 2 1 4 3 3 2 3 1 3 1 3 1 4 4 4 3 5 2 3 3 4 2 5 3 3
"237" 5 4 4 1 5 2 5 3 2 4 5 1 5 4 4 5 5 4 4 5 1 5 3 5 5 5 1 5 2 5 2 5 5 4 4 5 2 4 4 3 1 5 4 5
"238" 1 1 4 1 5 1 3 2 4 3 5 5 4 2 5 1 5 4 4 3 2 2 2 3 1 2 2 4 1 5 3 2 2 5 5 4 1 4 2 2 3 2 2 5
"239" 4 2 3 4 3 3 5 4 3 5 5 3 5 5 3 4 3 4 5 3 4 5 4 4 2 3 3 3 4 4 4 5 3 2 3 3 3 3 4 3 2 5 4 2
"240" 2 2 3 1 3 3 4 2 3 4 3 1 4 3 4 3 4 4 2 4 5 4 3 3 4 3 2 3 2 4 4 4 3 3 3 2 1 3 3 3 2 3 4 4
"241" 4 4 3 2 5 3 4 2 3 3 4 3 5 3 1 3 5 1 3 3 3 5 1 5 5 4 1 5 3 4 3 5 3 5 5 2 1 3 4 3 3 5 3 3
"242" 3 2 5 1 3 5 4 3 2 5 4 2 5 4 3 3 3 2 2 3 4 4 3 3 3 3 1 4 4 3 4 3 3 3 4 3 1 4 3 3 2 4 2 3
"243" 5 4 5 4 4 4 4 4 3 5 4 3 5 5 5 5 4 1 5 5 2 4 2 2 4 4 3 3 4 5 2 4 5 2 5 5 2 4 3 3 1 4 3 5
"244" 4 3 4 3 3 4 5 2 4 5 4 2 5 5 4 4 4 1 3 3 4 4 1 4 5 4 3 4 3 5 3 5 4 3 2 4 1 4 3 4 1 3 2 5
"245" 5 4 5 1 3 2 4 1 4 3 3 1 5 4 4 3 4 1 4 1 3 4 1 4 1 1 1 5 4 5 1 4 5 4 3 4 2 5 2 4 2 4 3 3
"246" 1 4 5 4 4 5 5 2 4 4 2 2 5 4 5 4 1 1 4 4 5 1 1 1 2 2 5 5 5 5 5 5 5 4 4 1 1 4 4 4 1 5 1 4
"247" 1 3 5 4 5 3 3 3 5 4 2 5 4 4 5 4 4 4 3 3 5 5 1 4 1 2 3 3 3 5 5 4 4 4 4 2 1 5 3 4 4 4 3 4
"248" 4 4 2 4 4 2 4 4 1 4 3 2 4 4 3 4 3 4 4 4 2 4 3 1 4 4 2 3 4 4 3 3 3 2 3 4 3 4 4 4 2 3 4 4
"249" 2 5 4 2 3 4 2 3 2 4 3 2 5 4 4 2 3 1 5 4 5 3 3 2 4 3 2 4 3 4 5 1 4 2 2 3 4 3 4 3 4 3 2 1
"250" 4 3 3 1 3 3 4 4 4 3 3 3 4 3 1 1 4 2 2 4 5 5 5 3 3 3 3 4 4 3 4 5 4 4 4 5 5 3 5 3 3 3 4 1
"251" 4 4 5 4 3 3 3 4 1 2 2 4 5 5 4 5 4 3 4 5 3 5 4 3 3 3 1 4 4 4 3 4 5 5 5 5 4 5 4 5 4 3 4 3
"252" 1 1 2 3 4 4 3 4 3 2 1 3 2 3 5 3 3 2 4 4 5 4 5 4 4 2 3 1 3 4 3 NA NA NA NA 5 3 4 2 4 3 3 4 4
"253" 1 5 4 5 3 4 1 5 1 3 5 5 1 5 4 4 5 4 1 1 5 1 5 1 5 5 5 3 5 3 5 1 5 5 4 1 5 4 5 4 5 4 5 1
"254" 4 3 4 2 3 3 4 2 3 4 4 2 5 4 2 4 3 2 2 4 2 4 2 3 1 3 3 4 4 3 2 3 4 3 3 4 2 4 2 3 3 4 2 1
"255" 4 3 4 1 2 4 3 2 3 4 1 2 5 4 3 3 2 2 3 2 3 4 3 2 4 4 2 3 3 4 4 4 4 3 2 4 2 4 3 3 2 4 3 4
"256" 3 4 4 3 4 3 4 4 3 4 3 2 5 3 2 3 3 2 3 3 4 5 1 3 3 3 3 3 3 2 4 3 4 3 4 3 3 3 3 4 3 3 3 2
"257" 1 4 5 4 4 4 4 4 2 4 3 3 5 5 5 2 2 1 5 3 5 2 4 4 2 4 4 4 4 3 4 2 4 3 5 1 3 5 5 3 4 3 2 1
"258" 1 5 3 5 1 5 1 3 3 4 4 3 4 5 5 5 4 4 1 4 5 1 5 4 4 4 5 4 5 3 3 1 4 5 4 5 5 1 3 1 2 1 5 3
"259" 5 2 5 1 4 2 4 2 4 5 5 4 5 4 4 5 5 1 4 4 1 5 1 3 4 5 2 5 2 4 1 4 4 3 2 5 1 5 1 4 3 4 4 3
"260" 4 3 4 4 3 2 5 3 2 4 2 5 4 5 4 2 4 3 4 2 4 4 4 2 3 2 3 1 4 2 5 5 4 2 4 2 4 4 4 3 2 5 2 1
"261" 5 5 3 5 1 5 4 3 2 3 1 5 1 5 4 2 4 2 4 1 3 5 5 3 1 1 3 2 5 3 4 5 4 5 3 1 1 3 3 2 5 5 4 1
"262" 5 4 5 3 3 3 3 3 3 4 4 3 4 4 3 4 4 3 4 4 3 4 3 3 3 4 3 5 4 3 3 3 4 3 5 5 3 3 4 3 3 4 3 3
"263" 4 1 5 1 4 2 5 4 5 3 4 1 5 4 2 3 5 1 3 2 4 5 3 4 1 1 1 4 4 5 4 5 5 4 5 4 1 3 1 2 4 5 4 1
"264" 4 4 4 3 4 2 4 1 2 4 3 2 4 2 4 3 2 1 4 4 3 5 3 1 2 4 4 4 4 4 4 4 4 4 5 4 3 4 2 3 2 4 2 4
"265" 2 3 4 2 4 5 4 3 2 4 1 4 4 5 4 2 3 4 4 3 5 4 4 1 3 1 4 1 5 1 5 2 4 1 4 3 2 2 3 2 5 5 4 3
"266" 1 5 4 2 3 5 2 3 1 4 5 4 5 5 4 2 2 1 5 4 5 5 3 1 3 1 1 3 5 5 5 1 4 1 5 1 1 4 5 3 1 3 3 4
"267" 5 4 5 1 4 1 5 4 1 4 4 1 5 5 3 5 5 4 4 5 2 5 2 1 4 4 1 5 5 5 4 5 4 2 1 5 2 4 1 5 1 5 2 5
"268" 2 1 5 1 5 3 4 2 5 4 3 1 5 2 5 2 4 1 3 5 2 3 2 4 5 3 1 3 3 4 2 2 4 3 2 1 2 4 2 4 1 3 3 5
"269" 5 4 4 2 3 1 4 3 2 4 4 2 4 4 3 4 1 1 5 1 1 5 1 4 3 4 1 4 4 2 3 5 5 2 4 4 3 3 4 2 3 4 5 5
"270" 1 1 2 3 4 1 2 5 4 3 3 3 3 1 5 3 2 1 3 2 4 1 5 4 3 2 1 1 3 3 1 3 5 4 3 3 3 2 3 4 4 3 3 4
"271" 4 3 4 1 2 2 3 2 3 4 3 2 3 3 2 3 4 2 2 2 2 5 2 3 1 3 2 4 4 3 2 5 5 3 1 3 2 3 2 2 2 5 3 2
"272" 5 5 5 1 4 1 5 2 2 4 4 3 5 3 5 5 2 1 5 4 3 3 1 2 3 3 1 5 3 4 1 5 5 3 2 4 3 3 3 3 2 5 1 2
"273" 2 3 5 3 5 5 4 3 3 4 3 2 5 3 5 3 5 4 5 5 4 5 1 2 5 1 4 5 4 5 5 5 3 3 3 2 2 3 5 5 1 4 3 5
"274" 5 1 5 1 4 1 5 2 4 5 5 1 5 4 5 5 5 1 4 5 1 5 1 4 4 3 2 5 4 5 2 5 5 4 1 5 4 5 3 5 1 5 2 5
"275" 1 4 5 5 2 2 2 3 1 4 2 3 3 1 3 1 1 3 2 3 4 1 3 2 2 3 1 2 4 3 2 1 3 4 2 1 3 2 2 3 3 1 1 1
"276" 3 4 3 3 4 2 4 3 3 5 1 4 5 4 4 2 3 2 3 5 4 1 3 4 3 3 3 4 5 4 4 2 3 4 1 3 4 4 3 4 2 1 3 4
"277" 5 1 4 3 3 2 5 1 2 4 4 2 4 5 3 4 3 1 5 3 1 4 3 2 3 5 3 4 5 1 2 5 5 4 4 5 2 4 3 4 4 5 2 1
"278" 2 5 4 4 4 4 2 3 4 1 4 2 4 4 4 4 3 3 4 5 5 1 4 5 1 5 4 1 4 5 5 2 4 4 3 4 4 4 4 4 4 1 3 5
"279" 5 4 5 1 4 3 5 1 5 4 5 4 5 4 4 5 4 2 3 5 1 5 1 4 4 4 1 5 4 5 1 5 4 4 2 5 1 4 1 5 1 5 4 4
"280" 2 2 4 2 3 3 4 2 3 3 3 2 4 4 4 4 4 3 3 3 4 3 2 3 3 3 2 4 3 2 3 3 4 2 2 4 3 4 3 3 3 4 3 3
"281" 4 3 4 3 4 2 4 3 2 4 4 1 5 4 3 3 4 3 4 4 3 4 2 3 3 4 4 4 3 4 4 4 4 3 3 5 2 4 2 4 2 4 2 4
"282" 2 2 5 1 3 4 4 3 3 4 3 1 5 4 4 3 2 1 2 3 5 4 1 4 3 1 4 4 4 4 5 5 5 3 4 1 1 5 4 4 3 4 2 3
"283" 3 1 5 5 3 4 5 1 1 5 3 1 5 5 5 3 5 1 5 5 3 5 1 3 3 1 1 5 1 3 5 5 5 3 1 4 1 5 5 5 3 5 1 1
"284" 2 4 5 4 4 4 4 3 2 3 3 3 5 4 5 3 4 3 4 5 5 4 2 3 3 4 4 5 4 5 5 5 5 3 4 3 3 5 4 4 1 4 2 5
"285" 2 3 4 3 3 4 4 2 4 3 2 2 4 5 2 2 4 4 5 2 5 4 4 2 2 3 2 4 3 3 4 4 4 2 4 3 2 5 4 3 3 3 4 2
"286" 3 3 5 1 4 4 4 2 4 5 2 2 5 2 5 4 3 2 2 5 2 4 2 5 4 4 3 4 2 5 2 4 5 5 4 3 4 4 2 4 2 5 2 4
"287" 4 2 4 2 2 3 4 3 4 3 3 2 5 2 2 3 5 2 3 3 3 4 3 3 3 3 3 4 3 2 3 4 3 4 1 4 2 2 3 2 2 3 3 2
"288" 4 2 4 4 4 4 4 4 1 5 2 4 4 4 3 3 4 4 5 4 3 4 4 1 4 3 3 4 5 4 4 4 4 2 2 3 4 4 3 4 4 2 5 2
"289" 4 4 5 4 5 1 4 4 1 5 5 5 5 4 5 5 5 1 5 5 1 5 1 4 4 5 1 5 4 5 5 5 4 4 2 4 5 3 4 4 1 4 4 1
"290" 1 4 5 1 4 4 3 4 1 5 2 4 5 5 4 2 4 1 4 1 4 4 1 4 1 5 2 5 5 4 5 3 5 1 4 4 3 5 4 5 5 3 1 1
"291" 4 4 5 1 4 3 4 1 4 4 3 1 5 4 3 3 4 2 2 4 3 3 2 3 5 4 1 5 1 2 3 4 5 4 3 5 1 4 2 4 2 4 4 2
"292" 4 2 4 1 3 2 4 2 5 5 4 3 4 4 2 5 4 4 3 3 1 4 2 5 4 4 1 2 4 2 4 3 3 4 1 4 3 3 4 3 4 4 2 2
"293" 5 1 4 1 5 1 4 2 2 5 5 4 3 5 5 5 5 5 5 5 1 4 4 2 5 5 1 4 5 5 1 5 4 4 2 5 2 3 5 5 1 4 4 5
"294" 4 3 4 2 5 3 5 2 4 5 2 2 4 3 3 4 4 2 4 4 3 4 2 3 4 3 2 4 2 5 4 5 4 4 3 3 1 4 4 4 1 5 2 3
"295" 4 2 4 1 2 4 4 2 4 4 5 1 5 1 3 5 4 4 4 3 4 4 2 5 1 4 3 4 2 4 3 4 4 4 3 4 2 4 3 4 2 5 3 3
