                                                           The SAS System                        16:35 Friday, February 11, 2011   1

                                                   Obs      y        x       z
                                                    696    -0.1     0.6     36.02
                                                    697    -0.1     0.7     48.82
                                                    698    -0.1     0.8     63.62
                                                    699    -0.1     0.9     80.42
                                                    700    -0.1     1.0     99.22
                                                    701    -0.1     1.1    120.02
                                                    702    -0.1     1.2    142.82
                                                    703    -0.1     1.3    167.62
                                                    704    -0.1     1.4    194.42
                                                    705    -0.1     1.5    223.22
                                                    706    -0.1     1.6    254.02
                                                    707    -0.1     1.7    286.82
                                                    708    -0.1     1.8    321.62
                                                    709    -0.1     1.9    358.42
                                                    710    -0.1     2.0    397.22
                                                    711    -0.1     2.1    438.02
                                                    712    -0.1     2.2    480.82
                                                    713    -0.1     2.3    525.62
                                                    714    -0.1     2.4    572.42
                                                    715    -0.1     2.5    621.22
                                                    716    -0.1     2.6    672.02
                                                    717    -0.1     2.7    724.82
                                                    718    -0.1     2.8    779.62
                                                    719    -0.1     2.9    836.42
                                                    720    -0.1     3.0    895.22
                                                    721     0.0    -0.5     26.00
                                                    722     0.0    -0.4     17.00
                                                    723     0.0    -0.3     10.00
                                                    724     0.0    -0.2      5.00
                                                    725     0.0    -0.1      2.00
                                                    726     0.0    -0.0      1.00
                                                    727     0.0     0.1      2.00
                                                    728     0.0     0.2      5.00
                                                           The SAS System                        16:35 Friday, February 11, 2011  14

                                                    Obs     y        x         z

                                                    729    0.0     0.3     10.00
                                                    730    0.0     0.4     17.00
                                                    731    0.0     0.5     26.00
                                                    732    0.0     0.6     37.00
                                                    733    0.0     0.7     50.00
                                                    734    0.0     0.8     65.00
                                                    735    0.0     0.9     82.00
                                                    736    0.0     1.0    101.00
                                                    737    0.0     1.1    122.00
                                                    738    0.0     1.2    145.00
                                                    739    0.0     1.3    170.00
                                                    740    0.0     1.4    197.00
                                                    741    0.0     1.5    226.00
                                                    742    0.0     1.6    257.00
                                                    743    0.0     1.7    290.00
                                                    744    0.0     1.8    325.00
                                                    745    0.0     1.9    362.00
                                                    746    0.0     2.0    401.00
                                                    747    0.0     2.1    442.00
                                                    748    0.0     2.2    485.00
                                                    749    0.0     2.3    530.00
                                                    750    0.0     2.4    577.00
                                                    751    0.0     2.5    626.00
                                                    752    0.0     2.6    677.00
                                                    753    0.0     2.7    730.00
                                                    754    0.0     2.8    785.00
                                                    755    0.0     2.9    842.00
                                                    756    0.0     3.0    901.00
                                                    757    0.1    -0.5     26.82
                                                    758    0.1    -0.4     17.62
                                                    759    0.1    -0.3     10.42
                                                    760    0.1    -0.2      5.22
                                                    761    0.1    -0.1      2.02
                                                    762    0.1    -0.0      0.82
                                                    763    0.1     0.1      1.62
                                                    764    0.1     0.2      4.42
                                                    765    0.1     0.3      9.22
                                                    766    0.1     0.4     16.02
                                                    767    0.1     0.5     24.82
                                                    768    0.1     0.6     35.62
                                                    769    0.1     0.7     48.42
                                                    770    0.1     0.8     63.22
                                                    771    0.1     0.9     80.02
                                                    772    0.1     1.0     98.82
                                                    773    0.1     1.1    119.62
                                                    774    0.1     1.2    142.42
                                                    775    0.1     1.3    167.22
                                                    776    0.1     1.4    194.02
                                                    777    0.1     1.5    222.82
                                                    778    0.1     1.6    253.62
                                                    779    0.1     1.7    286.42
                                                    780    0.1     1.8    321.22
                                                    781    0.1     1.9    358.02
                                                    782    0.1     2.0    396.82
                                                    783    0.1     2.1    437.62
                                                    784    0.1     2.2    480.42
                                                           The SAS System                        16:35 Friday, February 11, 2011  15

                                                    Obs     y        x         z

                                                    785    0.1     2.3    525.22
                                                    786    0.1     2.4    572.02
                                                    787    0.1     2.5    620.82
                                                    788    0.1     2.6    671.62
                                                    789    0.1     2.7    724.42
                                                    790    0.1     2.8    779.22
                                                    791    0.1     2.9    836.02
                                                    792    0.1     3.0    894.82
                                                    793    0.2    -0.5     29.80
                                                    794    0.2    -0.4     20.00
                                                    795    0.2    -0.3     12.20
                                                    796    0.2    -0.2      6.40
                                                    797    0.2    -0.1      2.60
                                                    798    0.2    -0.0      0.80
                                                    799    0.2     0.1      1.00
                                                    800    0.2     0.2      3.20
                                                    801    0.2     0.3      7.40
                                                    802    0.2     0.4     13.60
                                                    803    0.2     0.5     21.80
                                                    804    0.2     0.6     32.00
                                                    805    0.2     0.7     44.20
                                                    806    0.2     0.8     58.40
                                                    807    0.2     0.9     74.60
                                                    808    0.2     1.0     92.80
                                                    809    0.2     1.1    113.00
                                                    810    0.2     1.2    135.20
                                                    811    0.2     1.3    159.40
                                                    812    0.2     1.4    185.60
                                                    813    0.2     1.5    213.80
                                                    814    0.2     1.6    244.00
                                                    815    0.2     1.7    276.20
                                                    816    0.2     1.8    310.40
                                                    817    0.2     1.9    346.60
                                                    818    0.2     2.0    384.80
                                                    819    0.2     2.1    425.00
                                                    820    0.2     2.2    467.20
                                                    821    0.2     2.3    511.40
                                                    822    0.2     2.4    557.60
                                                    823    0.2     2.5    605.80
                                                    824    0.2     2.6    656.00
                                                    825    0.2     2.7    708.20
                                                    826    0.2     2.8    762.40
                                                    827    0.2     2.9    818.60
                                                    828    0.2     3.0    876.80
                                                    829    0.3    -0.5     35.30
                                                    830    0.3    -0.4     24.50
                                                    831    0.3    -0.3     15.70
                                                    832    0.3    -0.2      8.90
                                                    833    0.3    -0.1      4.10
                                                    834    0.3    -0.0      1.30
                                                    835    0.3     0.1      0.50
                                                    836    0.3     0.2      1.70
                                                    837    0.3     0.3      4.90
                                                    838    0.3     0.4     10.10
                                                    839    0.3     0.5     17.30
                                                    840    0.3     0.6     26.50
                                                           The SAS System                        16:35 Friday, February 11, 2011  16

                                                    Obs     y        x         z

                                                    841    0.3     0.7     37.70
                                                    842    0.3     0.8     50.90
                                                    843    0.3     0.9     66.10
                                                    844    0.3     1.0     83.30
                                                    845    0.3     1.1    102.50
                                                    846    0.3     1.2    123.70
                                                    847    0.3     1.3    146.90
                                                    848    0.3     1.4    172.10
                                                    849    0.3     1.5    199.30
                                                    850    0.3     1.6    228.50
                                                    851    0.3     1.7    259.70
                                                    852    0.3     1.8    292.90
                                                    853    0.3     1.9    328.10
                                                    854    0.3     2.0    365.30
                                                    855    0.3     2.1    404.50
                                                    856    0.3     2.2    445.70
                                                    857    0.3     2.3    488.90
                                                    858    0.3     2.4    534.10
                                                    859    0.3     2.5    581.30
                                                    860    0.3     2.6    630.50
                                                    861    0.3     2.7    681.70
                                                    862    0.3     2.8    734.90
                                                    863    0.3     2.9    790.10
                                                    864    0.3     3.0    847.30
                                                    865    0.4    -0.5     43.92
                                                    866    0.4    -0.4     31.72
                                                    867    0.4    -0.3     21.52
                                                    868    0.4    -0.2     13.32
                                                    869    0.4    -0.1      7.12
                                                    870    0.4    -0.0      2.92
                                                    871    0.4     0.1      0.72
                                                    872    0.4     0.2      0.52
                                                    873    0.4     0.3      2.32
                                                    874    0.4     0.4      6.12
                                                    875    0.4     0.5     11.92
                                                    876    0.4     0.6     19.72
                                                    877    0.4     0.7     29.52
                                                    878    0.4     0.8     41.32
                                                    879    0.4     0.9     55.12
                                                    880    0.4     1.0     70.92
                                                    881    0.4     1.1     88.72
                                                    882    0.4     1.2    108.52
                                                    883    0.4     1.3    130.32
                                                    884    0.4     1.4    154.12
                                                    885    0.4     1.5    179.92
                                                    886    0.4     1.6    207.72
                                                    887    0.4     1.7    237.52
                                                    888    0.4     1.8    269.32
                                                    889    0.4     1.9    303.12
                                                    890    0.4     2.0    338.92
                                                    891    0.4     2.1    376.72
                                                    892    0.4     2.2    416.52
                                                    893    0.4     2.3    458.32
                                                    894    0.4     2.4    502.12
                                                    895    0.4     2.5    547.92
                                                    896    0.4     2.6    595.72
                                                           The SAS System                        16:35 Friday, February 11, 2011  17

                                                    Obs     y        x         z

                                                    897    0.4     2.7    645.52
                                                    898    0.4     2.8    697.32
                                                    899    0.4     2.9    751.12
                                                    900    0.4     3.0    806.92
                                                    901    0.5    -0.5     56.50
                                                    902    0.5    -0.4     42.50
                                                    903    0.5    -0.3     30.50
                                                    904    0.5    -0.2     20.50
                                                    905    0.5    -0.1     12.50
                                                    906    0.5    -0.0      6.50
                                                    907    0.5     0.1      2.50
                                                    908    0.5     0.2      0.50
                                                    909    0.5     0.3      0.50
                                                    910    0.5     0.4      2.50
                                                    911    0.5     0.5      6.50
                                                    912    0.5     0.6     12.50
                                                    913    0.5     0.7     20.50
                                                    914    0.5     0.8     30.50
                                                    915    0.5     0.9     42.50
                                                    916    0.5     1.0     56.50
                                                    917    0.5     1.1     72.50
                                                    918    0.5     1.2     90.50
                                                    919    0.5     1.3    110.50
                                                    920    0.5     1.4    132.50
                                                    921    0.5     1.5    156.50
                                                    922    0.5     1.6    182.50
                                                    923    0.5     1.7    210.50
                                                    924    0.5     1.8    240.50
                                                    925    0.5     1.9    272.50
                                                    926    0.5     2.0    306.50
                                                    927    0.5     2.1    342.50
                                                    928    0.5     2.2    380.50
                                                    929    0.5     2.3    420.50
                                                    930    0.5     2.4    462.50
                                                    931    0.5     2.5    506.50
                                                    932    0.5     2.6    552.50
                                                    933    0.5     2.7    600.50
                                                    934    0.5     2.8    650.50
                                                    935    0.5     2.9    702.50
                                                    936    0.5     3.0    756.50
                                                    937    0.6    -0.5     74.12
                                                    938    0.6    -0.4     57.92
                                                    939    0.6    -0.3     43.72
                                                    940    0.6    -0.2     31.52
                                                    941    0.6    -0.1     21.32
                                                    942    0.6    -0.0     13.12
                                                    943    0.6     0.1      6.92
                                                    944    0.6     0.2      2.72
                                                    945    0.6     0.3      0.52
                                                    946    0.6     0.4      0.32
                                                    947    0.6     0.5      2.12
                                                    948    0.6     0.6      5.92
                                                    949    0.6     0.7     11.72
                                                    950    0.6     0.8     19.52
                                                    951    0.6     0.9     29.32
                                                    952    0.6     1.0     41.12
                                                           The SAS System                        16:35 Friday, February 11, 2011  18

                                                    Obs     y        x         z

                                                    953    0.6     1.1     54.92
                                                    954    0.6     1.2     70.72
                                                    955    0.6     1.3     88.52
                                                    956    0.6     1.4    108.32
                                                    957    0.6     1.5    130.12
                                                    958    0.6     1.6    153.92
                                                    959    0.6     1.7    179.72
                                                    960    0.6     1.8    207.52
                                                    961    0.6     1.9    237.32
                                                    962    0.6     2.0    269.12
                                                    963    0.6     2.1    302.92
                                                    964    0.6     2.2    338.72
                                                    965    0.6     2.3    376.52
                                                    966    0.6     2.4    416.32
                                                    967    0.6     2.5    458.12
                                                    968    0.6     2.6    501.92
                                                    969    0.6     2.7    547.72
                                                    970    0.6     2.8    595.52
                                                    971    0.6     2.9    645.32
                                                    972    0.6     3.0    697.12
                                                    973    0.7    -0.5     98.10
                                                    974    0.7    -0.4     79.30
                                                    975    0.7    -0.3     62.50
                                                    976    0.7    -0.2     47.70
                                                    977    0.7    -0.1     34.90
                                                    978    0.7    -0.0     24.10
                                                    979    0.7     0.1     15.30
                                                    980    0.7     0.2      8.50
                                                    981    0.7     0.3      3.70
                                                    982    0.7     0.4      0.90
                                                    983    0.7     0.5      0.10
                                                    984    0.7     0.6      1.30
                                                    985    0.7     0.7      4.50
                                                    986    0.7     0.8      9.70
                                                    987    0.7     0.9     16.90
                                                    988    0.7     1.0     26.10
                                                    989    0.7     1.1     37.30
                                                    990    0.7     1.2     50.50
                                                    991    0.7     1.3     65.70
                                                    992    0.7     1.4     82.90
                                                    993    0.7     1.5    102.10
                                                    994    0.7     1.6    123.30
                                                    995    0.7     1.7    146.50
                                                    996    0.7     1.8    171.70
                                                    997    0.7     1.9    198.90
                                                    998    0.7     2.0    228.10
                                                    999    0.7     2.1    259.30
                                                   1000    0.7     2.2    292.50
                                                   1001    0.7     2.3    327.70
                                                   1002    0.7     2.4    364.90
                                                   1003    0.7     2.5    404.10
                                                   1004    0.7     2.6    445.30
                                                   1005    0.7     2.7    488.50
                                                   1006    0.7     2.8    533.70
                                                   1007    0.7     2.9    580.90
                                                   1008    0.7     3.0    630.10
                                                           The SAS System                        16:35 Friday, February 11, 2011  19

                                                    Obs     y        x         z

                                                   1009    0.8    -0.5    130.00
                                                   1010    0.8    -0.4    108.20
                                                   1011    0.8    -0.3     88.40
                                                   1012    0.8    -0.2     70.60
                                                   1013    0.8    -0.1     54.80
                                                   1014    0.8    -0.0     41.00
                                                   1015    0.8     0.1     29.20
                                                   1016    0.8     0.2     19.40
                                                   1017    0.8     0.3     11.60
                                                   1018    0.8     0.4      5.80
                                                   1019    0.8     0.5      2.00
                                                   1020    0.8     0.6      0.20
                                                   1021    0.8     0.7      0.40
                                                   1022    0.8     0.8      2.60
                                                   1023    0.8     0.9      6.80
                                                   1024    0.8     1.0     13.00
                                                   1025    0.8     1.1     21.20
                                                   1026    0.8     1.2     31.40
                                                   1027    0.8     1.3     43.60
                                                   1028    0.8     1.4     57.80
                                                   1029    0.8     1.5     74.00
                                                   1030    0.8     1.6     92.20
                                                   1031    0.8     1.7    112.40
                                                   1032    0.8     1.8    134.60
                                                   1033    0.8     1.9    158.80
                                                   1034    0.8     2.0    185.00
                                                   1035    0.8     2.1    213.20
                                                   1036    0.8     2.2    243.40
                                                   1037    0.8     2.3    275.60
                                                   1038    0.8     2.4    309.80
                                                   1039    0.8     2.5    346.00
                                                   1040    0.8     2.6    384.20
                                                   1041    0.8     2.7    424.40
                                                   1042    0.8     2.8    466.60
                                                   1043    0.8     2.9    510.80
                                                   1044    0.8     3.0    557.00
                                                   1045    0.9    -0.5    171.62
                                                   1046    0.9    -0.4    146.42
                                                   1047    0.9    -0.3    123.22
                                                   1048    0.9    -0.2    102.02
                                                   1049    0.9    -0.1     82.82
                                                   1050    0.9    -0.0     65.62
                                                   1051    0.9     0.1     50.42
                                                   1052    0.9     0.2     37.22
                                                   1053    0.9     0.3     26.02
                                                   1054    0.9     0.4     16.82
                                                   1055    0.9     0.5      9.62
                                                   1056    0.9     0.6      4.42
                                                   1057    0.9     0.7      1.22
                                                   1058    0.9     0.8      0.02
                                                   1059    0.9     0.9      0.82
                                                   1060    0.9     1.0      3.62
                                                   1061    0.9     1.1      8.42
                                                   1062    0.9     1.2     15.22
                                                   1063    0.9     1.3     24.02
                                                   1064    0.9     1.4     34.82
                                                           The SAS System                        16:35 Friday, February 11, 2011  20

                                                    Obs     y        x         z

                                                   1065    0.9     1.5     47.62
                                                   1066    0.9     1.6     62.42
                                                   1067    0.9     1.7     79.22
                                                   1068    0.9     1.8     98.02
                                                   1069    0.9     1.9    118.82
                                                   1070    0.9     2.0    141.62
                                                   1071    0.9     2.1    166.42
                                                   1072    0.9     2.2    193.22
                                                   1073    0.9     2.3    222.02
                                                   1074    0.9     2.4    252.82
                                                   1075    0.9     2.5    285.62
                                                   1076    0.9     2.6    320.42
                                                   1077    0.9     2.7    357.22
                                                   1078    0.9     2.8    396.02
                                                   1079    0.9     2.9    436.82
                                                   1080    0.9     3.0    479.62
                                                   1081    1.0    -0.5    225.00
                                                   1082    1.0    -0.4    196.00
                                                   1083    1.0    -0.3    169.00
                                                   1084    1.0    -0.2    144.00
                                                   1085    1.0    -0.1    121.00
                                                   1086    1.0    -0.0    100.00
                                                   1087    1.0     0.1     81.00
                                                   1088    1.0     0.2     64.00
                                                   1089    1.0     0.3     49.00
                                                   1090    1.0     0.4     36.00
                                                   1091    1.0     0.5     25.00
                                                   1092    1.0     0.6     16.00
                                                   1093    1.0     0.7      9.00
                                                   1094    1.0     0.8      4.00
                                                   1095    1.0     0.9      1.00
                                                   1096    1.0     1.0      0.00
                                                   1097    1.0     1.1      1.00
                                                   1098    1.0     1.2      4.00
                                                   1099    1.0     1.3      9.00
                                                   1100    1.0     1.4     16.00
                                                   1101    1.0     1.5     25.00
                                                   1102    1.0     1.6     36.00
                                                   1103    1.0     1.7     49.00
                                                   1104    1.0     1.8     64.00
                                                   1105    1.0     1.9     81.00
                                                   1106    1.0     2.0    100.00
                                                   1107    1.0     2.1    121.00
                                                   1108    1.0     2.2    144.00
                                                   1109    1.0     2.3    169.00
                                                   1110    1.0     2.4    196.00
                                                   1111    1.0     2.5    225.00
                                                   1112    1.0     2.6    256.00
                                                   1113    1.0     2.7    289.00
                                                   1114    1.0     2.8    324.00
                                                   1115    1.0     2.9    361.00
                                                   1116    1.0     3.0    400.00
                                                   1117    1.1    -0.5    292.42
                                                   1118    1.1    -0.4    259.22
                                                   1119    1.1    -0.3    228.02
                                                   1120    1.1    -0.2    198.82
                                                           The SAS System                        16:35 Friday, February 11, 2011  21

                                                    Obs     y        x         z

                                                   1121    1.1    -0.1    171.62
                                                   1122    1.1    -0.0    146.42
                                                   1123    1.1     0.1    123.22
                                                   1124    1.1     0.2    102.02
                                                   1125    1.1     0.3     82.82
                                                   1126    1.1     0.4     65.62
                                                   1127    1.1     0.5     50.42
                                                   1128    1.1     0.6     37.22
                                                   1129    1.1     0.7     26.02
                                                   1130    1.1     0.8     16.82
                                                   1131    1.1     0.9      9.62
                                                   1132    1.1     1.0      4.42
                                                   1133    1.1     1.1      1.22
                                                   1134    1.1     1.2      0.02
                                                   1135    1.1     1.3      0.82
                                                   1136    1.1     1.4      3.62
                                                   1137    1.1     1.5      8.42
                                                   1138    1.1     1.6     15.22
                                                   1139    1.1     1.7     24.02
                                                   1140    1.1     1.8     34.82
                                                   1141    1.1     1.9     47.62
                                                   1142    1.1     2.0     62.42
                                                   1143    1.1     2.1     79.22
                                                   1144    1.1     2.2     98.02
                                                   1145    1.1     2.3    118.82
                                                   1146    1.1     2.4    141.62
                                                   1147    1.1     2.5    166.42
                                                   1148    1.1     2.6    193.22
                                                   1149    1.1     2.7    222.02
                                                   1150    1.1     2.8    252.82
                                                   1151    1.1     2.9    285.62
                                                   1152    1.1     3.0    320.42
                                                   1153    1.2    -0.5    376.40
                                                   1154    1.2    -0.4    338.60
                                                   1155    1.2    -0.3    302.80
                                                   1156    1.2    -0.2    269.00
                                                   1157    1.2    -0.1    237.20
                                                   1158    1.2    -0.0    207.40
                                                   1159    1.2     0.1    179.60
                                                   1160    1.2     0.2    153.80
                                                   1161    1.2     0.3    130.00
                                                   1162    1.2     0.4    108.20
                                                   1163    1.2     0.5     88.40
                                                   1164    1.2     0.6     70.60
                                                   1165    1.2     0.7     54.80
                                                   1166    1.2     0.8     41.00
                                                   1167    1.2     0.9     29.20
                                                   1168    1.2     1.0     19.40
                                                   1169    1.2     1.1     11.60
                                                   1170    1.2     1.2      5.80
                                                   1171    1.2     1.3      2.00
                                                   1172    1.2     1.4      0.20
                                                   1173    1.2     1.5      0.40
                                                   1174    1.2     1.6      2.60
                                                   1175    1.2     1.7      6.80
                                                   1176    1.2     1.8     13.00
                                                           The SAS System                        16:35 Friday, February 11, 2011  22

                                                    Obs     y        x         z

                                                   1177    1.2     1.9     21.20
                                                   1178    1.2     2.0     31.40
                                                   1179    1.2     2.1     43.60
                                                   1180    1.2     2.2     57.80
                                                   1181    1.2     2.3     74.00
                                                   1182    1.2     2.4     92.20
                                                   1183    1.2     2.5    112.40
                                                   1184    1.2     2.6    134.60
                                                   1185    1.2     2.7    158.80
                                                   1186    1.2     2.8    185.00
                                                   1187    1.2     2.9    213.20
                                                   1188    1.2     3.0    243.40
                                                   1189    1.3    -0.5    479.70
                                                   1190    1.3    -0.4    436.90
                                                   1191    1.3    -0.3    396.10
                                                   1192    1.3    -0.2    357.30
                                                   1193    1.3    -0.1    320.50
                                                   1194    1.3    -0.0    285.70
                                                   1195    1.3     0.1    252.90
                                                   1196    1.3     0.2    222.10
                                                   1197    1.3     0.3    193.30
                                                   1198    1.3     0.4    166.50
                                                   1199    1.3     0.5    141.70
                                                   1200    1.3     0.6    118.90
                                                   1201    1.3     0.7     98.10
                                                   1202    1.3     0.8     79.30
                                                   1203    1.3     0.9     62.50
                                                   1204    1.3     1.0     47.70
                                                   1205    1.3     1.1     34.90
                                                   1206    1.3     1.2     24.10
                                                   1207    1.3     1.3     15.30
                                                   1208    1.3     1.4      8.50
                                                   1209    1.3     1.5      3.70
                                                   1210    1.3     1.6      0.90
                                                   1211    1.3     1.7      0.10
                                                   1212    1.3     1.8      1.30
                                                   1213    1.3     1.9      4.50
                                                   1214    1.3     2.0      9.70
                                                   1215    1.3     2.1     16.90
                                                   1216    1.3     2.2     26.10
                                                   1217    1.3     2.3     37.30
                                                   1218    1.3     2.4     50.50
                                                   1219    1.3     2.5     65.70
                                                   1220    1.3     2.6     82.90
                                                   1221    1.3     2.7    102.10
                                                   1222    1.3     2.8    123.30
                                                   1223    1.3     2.9    146.50
                                                   1224    1.3     3.0    171.70
                                                   1225    1.4    -0.5    605.32
                                                   1226    1.4    -0.4    557.12
                                                   1227    1.4    -0.3    510.92
                                                   1228    1.4    -0.2    466.72
                                                   1229    1.4    -0.1    424.52
                                                   1230    1.4    -0.0    384.32
                                                   1231    1.4     0.1    346.12
                                                   1232    1.4     0.2    309.92
                                                           The SAS System                        16:35 Friday, February 11, 2011  23

                                                    Obs     y        x         z

                                                   1233    1.4     0.3    275.72
                                                   1234    1.4     0.4    243.52
                                                   1235    1.4     0.5    213.32
                                                   1236    1.4     0.6    185.12
                                                   1237    1.4     0.7    158.92
                                                   1238    1.4     0.8    134.72
                                                   1239    1.4     0.9    112.52
                                                   1240    1.4     1.0     92.32
                                                   1241    1.4     1.1     74.12
                                                   1242    1.4     1.2     57.92
                                                   1243    1.4     1.3     43.72
                                                   1244    1.4     1.4     31.52
                                                   1245    1.4     1.5     21.32
                                                   1246    1.4     1.6     13.12
                                                   1247    1.4     1.7      6.92
                                                   1248    1.4     1.8      2.72
                                                   1249    1.4     1.9      0.52
                                                   1250    1.4     2.0      0.32
                                                   1251    1.4     2.1      2.12
                                                   1252    1.4     2.2      5.92
                                                   1253    1.4     2.3     11.72
                                                   1254    1.4     2.4     19.52
                                                   1255    1.4     2.5     29.32
                                                   1256    1.4     2.6     41.12
                                                   1257    1.4     2.7     54.92
                                                   1258    1.4     2.8     70.72
                                                   1259    1.4     2.9     88.52
                                                   1260    1.4     3.0    108.32
                                                   1261    1.5    -0.5    756.50
                                                   1262    1.5    -0.4    702.50
                                                   1263    1.5    -0.3    650.50
                                                   1264    1.5    -0.2    600.50
                                                   1265    1.5    -0.1    552.50
                                                   1266    1.5    -0.0    506.50
                                                   1267    1.5     0.1    462.50
                                                   1268    1.5     0.2    420.50
                                                   1269    1.5     0.3    380.50
                                                   1270    1.5     0.4    342.50
                                                   1271    1.5     0.5    306.50
                                                   1272    1.5     0.6    272.50
                                                   1273    1.5     0.7    240.50
                                                   1274    1.5     0.8    210.50
                                                   1275    1.5     0.9    182.50
                                                   1276    1.5     1.0    156.50
                                                   1277    1.5     1.1    132.50
                                                   1278    1.5     1.2    110.50
                                                   1279    1.5     1.3     90.50
                                                   1280    1.5     1.4     72.50
                                                   1281    1.5     1.5     56.50
                                                   1282    1.5     1.6     42.50
                                                   1283    1.5     1.7     30.50
                                                   1284    1.5     1.8     20.50
                                                   1285    1.5     1.9     12.50
                                                   1286    1.5     2.0      6.50
                                                   1287    1.5     2.1      2.50
                                                   1288    1.5     2.2      0.50
                                                           The SAS System                        16:35 Friday, February 11, 2011  24

                                                    Obs     y        x          z

                                                   1289    1.5     2.3       0.50
                                                   1290    1.5     2.4       2.50
                                                   1291    1.5     2.5       6.50
                                                   1292    1.5     2.6      12.50
                                                   1293    1.5     2.7      20.50
                                                   1294    1.5     2.8      30.50
                                                   1295    1.5     2.9      42.50
                                                   1296    1.5     3.0      56.50
                                                   1297    1.6    -0.5     936.72
                                                   1298    1.6    -0.4     876.52
                                                   1299    1.6    -0.3     818.32
                                                   1300    1.6    -0.2     762.12
                                                   1301    1.6    -0.1     707.92
                                                   1302    1.6    -0.0     655.72
                                                   1303    1.6     0.1     605.52
                                                   1304    1.6     0.2     557.32
                                                   1305    1.6     0.3     511.12
                                                   1306    1.6     0.4     466.92
                                                   1307    1.6     0.5     424.72
                                                   1308    1.6     0.6     384.52
                                                   1309    1.6     0.7     346.32
                                                   1310    1.6     0.8     310.12
                                                   1311    1.6     0.9     275.92
                                                   1312    1.6     1.0     243.72
                                                   1313    1.6     1.1     213.52
                                                   1314    1.6     1.2     185.32
                                                   1315    1.6     1.3     159.12
                                                   1316    1.6     1.4     134.92
                                                   1317    1.6     1.5     112.72
                                                   1318    1.6     1.6      92.52
                                                   1319    1.6     1.7      74.32
                                                   1320    1.6     1.8      58.12
                                                   1321    1.6     1.9      43.92
                                                   1322    1.6     2.0      31.72
                                                   1323    1.6     2.1      21.52
                                                   1324    1.6     2.2      13.32
                                                   1325    1.6     2.3       7.12
                                                   1326    1.6     2.4       2.92
                                                   1327    1.6     2.5       0.72
                                                   1328    1.6     2.6       0.52
                                                   1329    1.6     2.7       2.32
                                                   1330    1.6     2.8       6.12
                                                   1331    1.6     2.9      11.92
                                                   1332    1.6     3.0      19.72
                                                   1333    1.7    -0.5    1149.70
                                                   1334    1.7    -0.4    1082.90
                                                   1335    1.7    -0.3    1018.10
                                                   1336    1.7    -0.2     955.30
                                                   1337    1.7    -0.1     894.50
                                                   1338    1.7    -0.0     835.70
                                                   1339    1.7     0.1     778.90
                                                   1340    1.7     0.2     724.10
                                                   1341    1.7     0.3     671.30
                                                   1342    1.7     0.4     620.50
                                                   1343    1.7     0.5     571.70
                                                   1344    1.7     0.6     524.90
                                                           The SAS System                        16:35 Friday, February 11, 2011  25

                                                    Obs     y        x         z

                                                   1345    1.7     0.7     480.1
                                                   1346    1.7     0.8     437.3
                                                   1347    1.7     0.9     396.5
                                                   1348    1.7     1.0     357.7
                                                   1349    1.7     1.1     320.9
                                                   1350    1.7     1.2     286.1
                                                   1351    1.7     1.3     253.3
                                                   1352    1.7     1.4     222.5
                                                   1353    1.7     1.5     193.7
                                                   1354    1.7     1.6     166.9
                                                   1355    1.7     1.7     142.1
                                                   1356    1.7     1.8     119.3
                                                   1357    1.7     1.9      98.5
                                                   1358    1.7     2.0      79.7
                                                   1359    1.7     2.1      62.9
                                                   1360    1.7     2.2      48.1
                                                   1361    1.7     2.3      35.3
                                                   1362    1.7     2.4      24.5
                                                   1363    1.7     2.5      15.7
                                                   1364    1.7     2.6       8.9
                                                   1365    1.7     2.7       4.1
                                                   1366    1.7     2.8       1.3
                                                   1367    1.7     2.9       0.5
                                                   1368    1.7     3.0       1.7
                                                   1369    1.8    -0.5    1399.4
                                                   1370    1.8    -0.4    1325.6
                                                   1371    1.8    -0.3    1253.8
                                                   1372    1.8    -0.2    1184.0
                                                   1373    1.8    -0.1    1116.2
                                                   1374    1.8    -0.0    1050.4
                                                   1375    1.8     0.1     986.6
                                                   1376    1.8     0.2     924.8
                                                   1377    1.8     0.3     865.0
                                                   1378    1.8     0.4     807.2
                                                   1379    1.8     0.5     751.4
                                                   1380    1.8     0.6     697.6
                                                   1381    1.8     0.7     645.8
                                                   1382    1.8     0.8     596.0
                                                   1383    1.8     0.9     548.2
                                                   1384    1.8     1.0     502.4
                                                   1385    1.8     1.1     458.6
                                                   1386    1.8     1.2     416.8
                                                   1387    1.8     1.3     377.0
                                                   1388    1.8     1.4     339.2
                                                   1389    1.8     1.5     303.4
                                                   1390    1.8     1.6     269.6
                                                   1391    1.8     1.7     237.8
                                                   1392    1.8     1.8     208.0
                                                   1393    1.8     1.9     180.2
                                                   1394    1.8     2.0     154.4
                                                   1395    1.8     2.1     130.6
                                                   1396    1.8     2.2     108.8
                                                   1397    1.8     2.3      89.0
                                                   1398    1.8     2.4      71.2
                                                   1399    1.8     2.5      55.4
                                                   1400    1.8     2.6      41.6
                                                           The SAS System                        16:35 Friday, February 11, 2011  26

                                                    Obs     y        x          z

                                                   1401    1.8     2.7      29.80
                                                   1402    1.8     2.8      20.00
                                                   1403    1.8     2.9      12.20
                                                   1404    1.8     3.0       6.40
                                                   1405    1.9    -0.5    1690.02
                                                   1406    1.9    -0.4    1608.82
